Program,Solarize CT, Date of Application,Completed,Electric Utility,County,Municipality, Zip Code,Contractor,System Owner,System Financing,System Size (kW STC),Total System Costs,Total Incentive  Approved, Estimated Annual Production  (kWh) 
PBI,No,4/19/2013,10/7/2013,United Illuminating,New Haven,West Haven,06516,SolarCity,SolarCity,PPA,6.37,"$32,168.50","$10,075.50"," 7,254 "
PBI,No,4/19/2013,6/6/2013,Eversource Energy,New Haven,Southbury,06488,SolarCity,Does Not Apply,PPA,7.35,"$37,117.50","$10,784.70"," 8,370 "
PBI,No,4/19/2013,6/13/2013,Eversource Energy,Hartford,Southington,06489,SolarCity,Does Not Apply,PPA,3.43,"$17,321.50","$4,862.48"," 3,906 "
EPBB,No,4/22/2013,6/14/2013,Eversource Energy,Tolland,Mansfield,06268,GM Industries,Does Not Apply,Other Homeowner Purchase,8.38,"$39,437.25","$10,315.00"," 9,537 "
EPBB,No,4/22/2013,7/15/2013,Eversource Energy,Fairfield,Bethel,06801,Ross Solar,Does Not Apply,Other Homeowner Purchase,8.32,"$34,112.00","$10,143.00"," 9,475 "
EPBB,Yes,4/22/2013,9/30/2013,Eversource Energy,Tolland,Coventry,06238,Encon,Does Not Apply,Other Homeowner Purchase,5.00,"$29,850.00","$6,484.00"," 5,694 "
EPBB,Yes,4/23/2013,5/24/2013,Eversource Energy,Tolland,Coventry,06238,Encon,Does Not Apply,Other Homeowner Purchase,6.50,"$25,155.00","$7,839.00"," 7,402 "
EPBB,Yes,4/23/2013,7/12/2013,Eversource Energy,Tolland,Coventry,06238,Encon,Does Not Apply,Other Homeowner Purchase,10.14,"$44,377.93","$11,140.00"," 11,544 "
EPBB,No,4/23/2013,9/16/2013,United Illuminating,Fairfield,Trumbull,06611,Shippee Solar and Construction,Does Not Apply,Other Homeowner Purchase,6.76,"$28,995.00","$9,395.00"," 7,698 "
EPBB,No,4/23/2013,6/19/2013,Eversource Energy,New London,Stonington,06379,Skyline Solar,Does Not Apply,Other Homeowner Purchase,7.69,"$32,969.00","$9,760.00"," 8,752 "
EPBB,No,4/23/2013,8/6/2013,United Illuminating,New Haven,Woodbridge,06525,Direct Energy Solar,Does Not Apply,Other Homeowner Purchase,11.03,"$44,254.00","$9,529.00"," 12,555 "
EPBB,No,4/23/2013,8/6/2013,United Illuminating,Fairfield,Fairfield,06824,Direct Energy Solar,Does Not Apply,Other Homeowner Purchase,8.09,"$32,957.00","$8,381.00"," 9,207 "
EPBB,No,4/23/2013,9/4/2013,Eversource Energy,New Haven,Bethany,06524,Aegis Electrical Systems,Does Not Apply,Other Homeowner Purchase,9.81,"$55,414.00","$10,975.00"," 11,172 "
