Program,Solarize CT, Date of Application,Completed,Electric Utility,County,Municipality, Zip Code,Contractor,System Owner,System Financing,System Size (kW STC),Total System Costs,Total Incentive  Approved, Estimated Annual Production  (kWh) 
EPBB,No,3/5/2012,4/10/2012,Eversource Energy,Hartford,Avon,06001,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,9.50,"$44,650.00","$14,982.00"," 10,819 "
EPBB,No,3/5/2012,11/19/2012,Eversource Energy,Middlesex,Old Saybrook,06475,Waldo Renewable Electric,Does Not Apply,Other Homeowner Purchase,7.20,"$40,888.00","$13,069.00"," 8,199 "
EPBB,No,3/5/2012,5/2/2012,Eversource Energy,Middlesex,Durham,06422,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,6.00,"$33,300.00","$10,855.00"," 6,833 "
EPBB,No,3/5/2012,12/4/2012,Eversource Energy,New London,Stonington,06355,Waldo Renewable Electric,Does Not Apply,Other Homeowner Purchase,5.76,"$32,251.88","$12,314.00"," 6,559 "
EPBB,No,3/5/2012,5/2/2012,Eversource Energy,New London,Lebanon,06249,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,6.27,"$30,723.00","$11,080.00"," 7,140 "
EPBB,No,3/5/2012,5/2/2012,Eversource Energy,Windham,Putnam,06260,Shippee Solar and Construction,Does Not Apply,Other Homeowner Purchase,3.29,"$7,790.00","$6,817.00"," 3,747 "
EPBB,No,3/5/2012,8/8/2012,Eversource Energy,Tolland,Andover,06232,RGS Energy,Does Not Apply,Other Homeowner Purchase,7.50,"$31,982.00","$13,847.00"," 8,541 "
EPBB,No,3/6/2012,11/19/2012,Eversource Energy,New London,Waterford,06385,Waldo Renewable Electric,Does Not Apply,Other Homeowner Purchase,5.76,"$32,251.88","$12,314.00"," 6,559 "
EPBB,No,3/6/2012,6/5/2012,Eversource Energy,Middlesex,East Haddam,06423,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,6.75,"$35,775.00","$11,919.00"," 7,687 "
EPBB,No,3/6/2012,8/8/2012,Eversource Energy,Hartford,Enfield,06082,RGS Energy,Does Not Apply,Other Homeowner Purchase,9.50,"$42,275.00","$16,069.00"," 10,819 "
EPBB,No,3/6/2012,8/9/2012,Eversource Energy,Hartford,Manchester,06040,RGS Energy,Does Not Apply,Other Homeowner Purchase,5.40,"$35,383.00","$10,722.00"," 6,150 "
EPBB,No,3/6/2012,10/18/2012,Eversource Energy,Windham,Brooklyn,06234,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,6.00,"$30,000.00","$12,462.00"," 6,833 "
EPBB,No,3/6/2012,2/1/2013,Eversource Energy,New London,Groton,06340,RGS Energy,Does Not Apply,Other Homeowner Purchase,2.88,"$22,003.00","$6,011.00"," 3,280 "
EPBB,No,3/6/2012,10/18/2012,Eversource Energy,Windham,Brooklyn,06234,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,6.00,"$30,000.00","$12,507.00"," 6,833 "
EPBB,No,3/6/2012,11/1/2012,Eversource Energy,Middlesex,East Haddam,06423,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,5.50,"$27,500.00","$11,197.00"," 6,263 "
EPBB,No,3/6/2012,4/24/2012,Eversource Energy,Tolland,Vernon,06066,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,1.92,"$13,632.00","$3,292.00"," 2,186 "
EPBB,No,3/6/2012,6/5/2012,Eversource Energy,Litchfield,Canaan,06031,Litchfield Hills Solar,Does Not Apply,Other Homeowner Purchase,11.28,"$64,512.00","$17,354.00"," 12,846 "
EPBB,No,3/6/2012,10/1/2012,Eversource Energy,Windham,Woodstock,06281,Shippee Solar and Construction,Does Not Apply,Other Homeowner Purchase,11.03,"$34,495.00","$16,741.00"," 12,555 "
EPBB,No,3/7/2012,7/25/2012,Eversource Energy,Hartford,Suffield,06078,Ross Solar,Does Not Apply,Other Homeowner Purchase,10.78,"$51,862.20","$17,514.00"," 12,276 "
EPBB,No,3/7/2012,6/18/2012,Eversource Energy,Middlesex,East Haddam,06423,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,4.25,"$24,300.00","$9,048.00"," 4,840 "
EPBB,No,3/7/2012,9/19/2013,Eversource Energy,Tolland,Tolland,06084,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,6.96,"$39,950.40","$12,616.00"," 7,926 "
EPBB,No,3/7/2012,6/5/2012,Eversource Energy,Windham,Putnam,06260,Shippee Solar and Construction,Does Not Apply,Other Homeowner Purchase,4.80,"$18,489.00","$9,605.00"," 5,466 "
EPBB,No,3/7/2012,8/3/2012,Eversource Energy,Middlesex,East Hampton,06424,RGS Energy,Does Not Apply,Other Homeowner Purchase,7.61,"$47,912.00","$12,933.00"," 8,661 "
EPBB,No,3/7/2012,8/8/2012,Eversource Energy,New Haven,Oxford,06478,RGS Energy,Does Not Apply,Other Homeowner Purchase,5.75,"$30,811.00","$11,806.00"," 6,548 "
EPBB,No,3/7/2012,11/1/2012,Eversource Energy,Fairfield,Ridgefield,06877,Northeast Smart Energy,Does Not Apply,Other Homeowner Purchase,5.15,"$14,040.00","$10,027.00"," 5,865 "
EPBB,No,3/7/2012,5/31/2012,United Illuminating,New Haven,New Haven,06501,Waldo Renewable Electric,Does Not Apply,Other Homeowner Purchase,4.80,"$29,661.00","$9,774.00"," 5,466 "
EPBB,No,3/7/2012,12/3/2012,Eversource Energy,New London,East Lyme,06357,Waldo Renewable Electric,Does Not Apply,Other Homeowner Purchase,6.72,"$37,942.00","$12,091.00"," 7,653 "
EPBB,No,3/7/2012,7/25/2012,Eversource Energy,Fairfield,Danbury,06810,Ross Solar,Does Not Apply,Other Homeowner Purchase,9.31,"$41,071.00","$15,457.00"," 10,602 "
EPBB,No,3/7/2012,5/30/2012,Eversource Energy,Litchfield,Plymouth,06786,DCS Energy,Does Not Apply,Other Homeowner Purchase,4.00,"$16,800.00","$8,019.00"," 4,555 "
EPBB,No,3/7/2012,7/30/2012,Eversource Energy,New Haven,Guilford,06437,Ross Solar,Does Not Apply,Other Homeowner Purchase,10.08,"$47,069.60","$14,014.00"," 11,479 "
EPBB,No,3/7/2012,6/27/2012,Eversource Energy,Litchfield,Washington,06794,Litchfield Hills Solar,Does Not Apply,Other Homeowner Purchase,4.75,"$23,987.00","$9,265.00"," 5,409 "
EPBB,No,3/7/2012,4/11/2012,Eversource Energy,Litchfield,Salisbury,06079,Litchfield Hills Solar,Does Not Apply,Other Homeowner Purchase,3.80,"$19,076.00","$6,732.00"," 4,327 "
EPBB,No,3/7/2012,6/5/2012,Eversource Energy,Hartford,West Hartford,06107,DCS Energy,Does Not Apply,Other Homeowner Purchase,4.00,"$16,800.00","$8,521.00"," 4,555 "
EPBB,No,3/7/2012,5/7/2012,Eversource Energy,Windham,Eastford,06242,DCS Energy,Does Not Apply,Other Homeowner Purchase,4.50,"$18,900.00","$9,518.00"," 5,125 "
EPBB,No,3/7/2012,9/19/2013,Eversource Energy,New Haven,Guilford,06437,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,3.99,"$17,987.55","$8,420.00"," 4,544 "
EPBB,No,3/8/2012,11/13/2012,Eversource Energy,Hartford,West Hartford,06107,AllGreenIT,Does Not Apply,Other Homeowner Purchase,2.82,"$17,520.00","$5,654.00"," 3,211 "
EPBB,No,3/8/2012,6/18/2012,United Illuminating,New Haven,North Haven,06473,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,3.45,"$21,000.00","$7,068.00"," 3,929 "
EPBB,No,3/8/2012,5/7/2012,Eversource Energy,Fairfield,Westport,06880,Encon,Does Not Apply,Other Homeowner Purchase,6.75,"$33,091.63","$11,906.00"," 7,687 "
EPBB,No,3/8/2012,7/5/2012,United Illuminating,New Haven,Orange,06477,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,8.78,"$52,143.75","$14,447.00"," 9,993 "
EPBB,No,3/9/2012,7/31/2012,Eversource Energy,Fairfield,Westport,06880,Elektron Solar,Does Not Apply,Other Homeowner Purchase,6.24,"$31,949.00","$12,181.00"," 7,106 "
EPBB,No,3/9/2012,6/5/2012,United Illuminating,Fairfield,Shelton,06484,Encon,Does Not Apply,Other Homeowner Purchase,6.00,"$26,194.00","$11,984.00"," 6,833 "
EPBB,No,3/9/2012,7/12/2012,Eversource Energy,Hartford,Granby,06035,Aegis Electrical Systems,Does Not Apply,Other Homeowner Purchase,6.50,"$35,100.00","$11,986.00"," 7,402 "
EPBB,No,3/9/2012,4/13/2012,Eversource Energy,Hartford,Farmington,06085,AllGreenIT,Does Not Apply,Other Homeowner Purchase,3.50,"$11,640.00","$7,663.00"," 3,986 "
EPBB,No,3/12/2012,3/28/2015,Eversource Energy,New London,Waterford,06385,Harness the Sun,Does Not Apply,Other Homeowner Purchase,5.52,"$23,736.00","$11,207.00"," 6,286 "
EPBB,No,3/12/2012,10/22/2012,Eversource Energy,Fairfield,Ridgefield,06877,Lenz Electric,Does Not Apply,Other Homeowner Purchase,4.08,"$23,306.00","$8,007.00"," 4,646 "
EPBB,No,3/15/2012,10/9/2012,Eversource Energy,Tolland,Bolton,06043,GM Industries,Does Not Apply,Other Homeowner Purchase,10.79,"$117,679.03","$18,435.00"," 12,289 "
EPBB,No,3/15/2012,6/18/2012,Eversource Energy,Windham,Woodstock,06281,GM Industries,Does Not Apply,Other Homeowner Purchase,10.56,"$108,670.62","$18,162.00"," 12,026 "
EPBB,No,3/15/2012,9/19/2013,Eversource Energy,New Haven,Madison,06443,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,5.70,"$28,215.00","$11,160.00"," 6,491 "
EPBB,No,3/15/2012,10/15/2012,Eversource Energy,New London,Lebanon,06249,Encon,Does Not Apply,Other Homeowner Purchase,8.82,"$46,300.53","$14,842.00"," 10,044 "
EPBB,No,3/15/2012,12/26/2013,Eversource Energy,New Haven,Branford,06405,Ross Solar,Does Not Apply,Other Homeowner Purchase,9.00,"$37,750.00","$15,306.00"," 10,249 "
EPBB,No,3/15/2012,7/16/2012,Eversource Energy,Tolland,Vernon,06066,Summer Hill Solar,Does Not Apply,Other Homeowner Purchase,5.50,"$17,650.00","$10,366.00"," 6,263 "
EPBB,No,3/19/2012,7/31/2012,Eversource Energy,Litchfield,Harwinton,06791,Ross Solar,Does Not Apply,Other Homeowner Purchase,5.64,"$23,701.80","$11,471.00"," 6,423 "
EPBB,No,3/19/2012,6/5/2012,Eversource Energy,Windham,Eastford,06242,DCS Energy,Does Not Apply,Other Homeowner Purchase,4.50,"$18,900.00","$9,494.00"," 5,125 "
EPBB,No,3/19/2012,6/5/2012,Eversource Energy,New Haven,Guilford,06437,Aegis Electrical Systems,Does Not Apply,Other Homeowner Purchase,4.14,"$27,621.00","$7,746.00"," 4,715 "
EPBB,No,3/19/2012,7/11/2012,Eversource Energy,Hartford,South Windsor,06074,Encon,Does Not Apply,Other Homeowner Purchase,7.00,"$28,434.70","$11,423.00"," 7,972 "
EPBB,No,3/19/2012,6/20/2012,Eversource Energy,Tolland,Mansfield,06250,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,4.56,"$22,417.20","$9,011.00"," 5,193 "
EPBB,No,3/19/2012,9/19/2013,Eversource Energy,Hartford,Windsor,06095,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,3.84,"$20,198.40","$7,739.00"," 4,373 "
EPBB,No,3/19/2012,7/20/2012,Eversource Energy,Tolland,Stafford,06076,DCS Energy,Does Not Apply,Other Homeowner Purchase,5.50,"$25,200.00","$11,636.00"," 6,263 "
EPBB,No,3/19/2012,5/2/2012,Eversource Energy,Hartford,Glastonbury,06033,Ross Solar,Does Not Apply,Other Homeowner Purchase,10.32,"$51,862.00","$16,404.00"," 11,752 "
EPBB,No,3/21/2012,7/3/2012,Eversource Energy,New London,East Lyme,06357,Aegis Electrical Systems,Does Not Apply,Other Homeowner Purchase,6.72,"$39,580.80","$11,218.00"," 7,653 "
EPBB,No,3/21/2012,6/18/2012,United Illuminating,Fairfield,Stratford,06615,Encon,Does Not Apply,Other Homeowner Purchase,2.82,"$17,015.00","$5,545.00"," 3,211 "
EPBB,No,3/21/2012,5/1/2012,Eversource Energy,Hartford,South Windsor,06028,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,3.99,"$20,349.00","$7,382.00"," 4,544 "
EPBB,No,3/21/2012,5/9/2012,Eversource Energy,Middlesex,Old Saybrook,06475,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,7.19,"$39,600.00","$13,548.00"," 8,193 "
EPBB,No,3/21/2012,9/19/2013,Eversource Energy,Hartford,Suffield,06093,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,8.55,"$36,765.00","$14,986.00"," 9,737 "
EPBB,No,3/21/2012,7/11/2012,Eversource Energy,Windham,Eastford,06242,Shippee Solar and Construction,Does Not Apply,Other Homeowner Purchase,7.20,"$23,235.00","$13,941.00"," 8,199 "
EPBB,No,3/22/2012,7/31/2012,Eversource Energy,Middlesex,Killingworth,06419,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,5.00,"$23,000.00","$5,906.00"," 5,694 "
EPBB,No,3/22/2012,6/5/2012,Eversource Energy,Windham,Putnam,06260,Shippee Solar and Construction,Does Not Apply,Other Homeowner Purchase,5.64,"$14,980.00","$11,351.00"," 6,423 "
EPBB,No,3/22/2012,9/6/2013,Eversource Energy,Middlesex,Middletown,06457,Ross Solar,Does Not Apply,Other Homeowner Purchase,4.23,"$20,940.00","$7,575.00"," 4,817 "
EPBB,No,3/22/2012,6/19/2012,Eversource Energy,Hartford,Bristol,06010,C-TEC Solar,Does Not Apply,Other Homeowner Purchase,5.64,"$31,584.00","$9,555.00"," 6,423 "
EPBB,No,3/22/2012,5/30/2012,Eversource Energy,New Haven,Wolcott,06716,DCS Energy,Does Not Apply,Other Homeowner Purchase,3.00,"$12,600.00","$6,086.00"," 3,416 "
EPBB,No,3/22/2012,7/31/2012,Eversource Energy,Windham,Brooklyn,06234,Summer Hill Solar,Does Not Apply,Other Homeowner Purchase,5.76,"$19,975.00","$10,977.00"," 6,559 "
EPBB,No,3/23/2012,10/10/2012,Eversource Energy,Litchfield,Cornwall,06753,Litchfield Hills Solar,Does Not Apply,Other Homeowner Purchase,8.46,"$41,454.00","$13,202.00"," 9,634 "
EPBB,No,3/23/2012,7/6/2012,United Illuminating,New Haven,North Haven,06473,Aegis Electrical Systems,Does Not Apply,Other Homeowner Purchase,7.84,"$46,334.40","$12,940.00"," 8,928 "
EPBB,No,3/26/2012,8/9/2012,Eversource Energy,Hartford,Marlborough,06447,Leach Services,Does Not Apply,Other Homeowner Purchase,5.64,"$20,000.00","$9,800.00"," 6,423 "
EPBB,No,3/26/2012,2/1/2013,Eversource Energy,New London,Lyme,06371,Ross Solar,Does Not Apply,Other Homeowner Purchase,10.12,"$36,244.00","$17,105.00"," 11,525 "
EPBB,No,3/26/2012,7/26/2012,Eversource Energy,Windham,Killingly,06239,Ross Solar,Does Not Apply,Other Homeowner Purchase,7.85,"$40,604.00","$12,697.00"," 8,937 "
EPBB,No,3/26/2012,7/11/2012,Eversource Energy,New London,East Lyme,06357,Waldo Renewable Electric,Does Not Apply,Other Homeowner Purchase,7.85,"$38,538.73","$11,981.00"," 8,937 "
EPBB,No,3/28/2012,7/30/2012,Eversource Energy,New London,Stonington,06378,Mystic Solar,Does Not Apply,Other Homeowner Purchase,10.92,"$62,715.00","$16,839.00"," 12,430 "
EPBB,No,3/28/2012,1/30/2013,Eversource Energy,New London,Stonington,06378,Mystic Solar,Does Not Apply,Other Homeowner Purchase,4.80,"$26,840.00","$8,786.00"," 5,466 "
EPBB,No,3/28/2012,11/1/2012,Eversource Energy,Hartford,Marlborough,06447,GM Industries,Does Not Apply,Other Homeowner Purchase,10.79,"$92,535.11","$18,435.00"," 12,289 "
EPBB,No,3/28/2012,4/26/2013,Eversource Energy,Tolland,Tolland,06084,GM Industries,Does Not Apply,Other Homeowner Purchase,10.79,"$95,351.74","$18,435.00"," 12,289 "
EPBB,No,3/29/2012,7/31/2012,Eversource Energy,Hartford,Enfield,06082,GM Industries,Does Not Apply,Other Homeowner Purchase,6.37,"$41,455.12","$12,442.00"," 7,254 "
EPBB,No,3/29/2012,6/18/2012,Eversource Energy,New Haven,Meriden,06451,Macri Roofing,Does Not Apply,Other Homeowner Purchase,7.59,"$40,559.13","$13,211.00"," 8,643 "
EPBB,No,3/29/2012,8/17/2012,Eversource Energy,Windham,Putnam,06260,Shippee Solar and Construction,Does Not Apply,Other Homeowner Purchase,7.44,"$29,677.00","$11,587.00"," 8,473 "
EPBB,No,3/30/2012,5/31/2012,Eversource Energy,Windham,Thompson,06277,Shippee Solar and Construction,Does Not Apply,Other Homeowner Purchase,3.29,"$15,684.00","$6,709.00"," 3,747 "
EPBB,No,3/30/2012,7/17/2012,Eversource Energy,Middlesex,Middletown,06457,Giuffrida Electric,Does Not Apply,Other Homeowner Purchase,7.32,"$43,920.00","$14,057.00"," 8,336 "
EPBB,No,3/30/2012,6/5/2012,Eversource Energy,Middlesex,East Haddam,06423,C-TEC Solar,Does Not Apply,Other Homeowner Purchase,7.85,"$45,126.00","$15,043.00"," 8,937 "
EPBB,No,3/30/2012,11/20/2012,Eversource Energy,New London,Stonington,06378,Ross Solar,Does Not Apply,Other Homeowner Purchase,3.92,"$22,212.00","$8,244.00"," 4,469 "
EPBB,No,3/30/2012,6/5/2012,Eversource Energy,Tolland,Coventry,06238,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,6.84,"$29,754.00","$12,437.00"," 7,789 "
EPBB,No,4/4/2012,5/9/2012,Eversource Energy,Hartford,Southington,06489,CT Electrical,Does Not Apply,Other Homeowner Purchase,6.00,"$33,000.00","$10,480.00"," 6,833 "
EPBB,No,4/4/2012,7/11/2012,Eversource Energy,Windham,Woodstock,06281,DCS Energy,Does Not Apply,Other Homeowner Purchase,4.50,"$18,900.00","$9,434.00"," 5,125 "
EPBB,No,4/4/2012,9/19/2013,Eversource Energy,Tolland,Somers,06071,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,7.92,"$34,197.00","$14,690.00"," 9,019 "
EPBB,No,4/4/2012,7/25/2012,Eversource Energy,Hartford,Bloomfield,06002,AllGreenIT,Does Not Apply,Other Homeowner Purchase,7.50,"$32,446.00","$14,321.00"," 8,541 "
EPBB,No,4/4/2012,10/2/2012,United Illuminating,Fairfield,Fairfield,06824,Sun-Wind Solutions,Does Not Apply,Other Homeowner Purchase,11.05,"$56,500.00","$15,030.00"," 12,578 "
EPBB,No,4/4/2012,11/10/2015,Eversource Energy,Hartford,South Windsor,06074,Harness the Sun,Does Not Apply,Other Homeowner Purchase,8.33,"$33,442.50","$11,937.00"," 9,486 "
EPBB,No,4/4/2012,5/7/2014,Eversource Energy,Windham,Brooklyn,06234,Harness the Sun,Does Not Apply,Other Homeowner Purchase,3.46,"$14,647.50","$6,065.00"," 3,935 "
EPBB,No,4/4/2012,11/19/2012,Eversource Energy,Hartford,East Windsor,06016,GM Industries,Does Not Apply,Other Homeowner Purchase,6.87,"$87,183.98","$12,376.00"," 7,820 "
EPBB,No,4/4/2012,11/14/2012,Eversource Energy,Windham,Brooklyn,06234,GM Industries,Does Not Apply,Other Homeowner Purchase,10.79,"$88,105.88","$18,435.00"," 12,289 "
EPBB,No,4/5/2012,7/20/2012,Eversource Energy,New Haven,Wolcott,06705,Ross Solar,Does Not Apply,Other Homeowner Purchase,10.46,"$51,698.70","$18,042.00"," 11,916 "
EPBB,No,4/5/2012,8/20/2012,United Illuminating,Fairfield,Fairfield,06824,Elektron Solar,Does Not Apply,Other Homeowner Purchase,3.76,"$20,605.00","$6,995.00"," 4,282 "
EPBB,No,4/5/2012,12/4/2012,Eversource Energy,Tolland,Mansfield,06268,Ross Solar,Does Not Apply,Other Homeowner Purchase,9.81,"$47,066.00","$11,097.00"," 11,172 "
EPBB,No,4/5/2012,11/19/2012,Eversource Energy,New Haven,Guilford,06437,Northeast Smart Energy,Does Not Apply,Other Homeowner Purchase,5.46,"$26,754.00","$10,770.00"," 6,218 "
EPBB,No,4/5/2012,11/8/2012,United Illuminating,New Haven,Milford,06460,Ross Solar,Does Not Apply,Other Homeowner Purchase,5.23,"$26,695.36","$11,757.00"," 5,958 "
EPBB,No,4/5/2012,7/5/2012,Eversource Energy,Middlesex,Durham,06422,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,9.00,"$59,700.00","$15,375.00"," 10,249 "
EPBB,No,4/5/2012,8/2/2012,Eversource Energy,Fairfield,Greenwich,06831,Sound Solar Systems,Does Not Apply,Other Homeowner Purchase,7.11,"$40,000.00","$13,175.00"," 8,091 "
EPBB,No,4/5/2012,3/28/2013,Eversource Energy,New London,Colchester,06415,White Oak Development,Does Not Apply,Other Homeowner Purchase,4.83,"$32,243.00","$9,307.00"," 5,500 "
EPBB,No,4/5/2012,8/6/2012,Eversource Energy,Tolland,Mansfield,06250,Sun Harvest Renewable Resources,Does Not Apply,Other Homeowner Purchase,10.40,"$73,045.00","$17,672.00"," 11,844 "
EPBB,No,4/9/2012,9/27/2012,Eversource Energy,Middlesex,Durham,06422,GM Industries,Does Not Apply,Other Homeowner Purchase,10.79,"$99,948.98","$18,435.00"," 12,289 "
EPBB,No,4/9/2012,6/29/2012,Eversource Energy,Middlesex,Westbrook,06498,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,2.88,"$16,128.00","$5,323.00"," 3,280 "
EPBB,No,4/9/2012,8/6/2013,Eversource Energy,Hartford,Windsor Locks,06096,Harness the Sun,Does Not Apply,Other Homeowner Purchase,2.94,"$10,512.00","$5,723.00"," 3,348 "
EPBB,No,4/9/2012,1/7/2013,Eversource Energy,Fairfield,Weston,06883,Aegis Electrical Systems,Does Not Apply,Other Homeowner Purchase,7.35,"$44,247.00","$12,828.00"," 8,370 "
EPBB,No,4/10/2012,8/6/2012,United Illuminating,Fairfield,Shelton,06484,Sun Harvest Renewable Resources,Does Not Apply,Other Homeowner Purchase,5.64,"$29,553.00","$12,284.00"," 6,423 "
EPBB,No,4/10/2012,8/31/2012,Eversource Energy,Hartford,South Windsor,06074,C-TEC Solar,Does Not Apply,Other Homeowner Purchase,9.16,"$53,523.28","$14,169.00"," 10,427 "
EPBB,No,4/11/2012,9/18/2013,Eversource Energy,Litchfield,Warren,06754,Litchfield Hills Solar,Does Not Apply,Other Homeowner Purchase,9.00,"$45,000.00","$14,964.00"," 10,249 "
EPBB,No,4/12/2012,8/30/2012,Eversource Energy,Hartford,Enfield,06082,C-TEC Solar,Does Not Apply,Other Homeowner Purchase,4.60,"$38,317.86","$10,261.00"," 5,238 "
EPBB,No,4/12/2012,10/16/2012,United Illuminating,Fairfield,Fairfield,06824,Elektron Solar,Does Not Apply,Other Homeowner Purchase,4.94,"$24,700.00","$8,544.00"," 5,626 "
EPBB,No,4/12/2012,8/1/2012,United Illuminating,Fairfield,Fairfield,06890,Ross Solar,Does Not Apply,Other Homeowner Purchase,10.58,"$41,371.25","$17,196.00"," 12,043 "
EPBB,No,4/12/2012,12/7/2012,Eversource Energy,Fairfield,Sherman,06784,Evergreen Energy,Does Not Apply,Other Homeowner Purchase,10.78,"$47,432.00","$15,554.00"," 12,276 "
EPBB,No,4/12/2012,7/9/2012,Eversource Energy,Hartford,Glastonbury,06033,DCS Energy,Does Not Apply,Other Homeowner Purchase,4.00,"$16,800.00","$8,270.00"," 4,555 "
EPBB,No,4/13/2012,6/20/2012,Eversource Energy,Litchfield,Bethlehem,06751,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,8.97,"$37,225.51","$15,607.00"," 10,215 "
EPBB,No,4/13/2012,7/10/2012,Eversource Energy,Fairfield,New Canaan,06840,Encon,Does Not Apply,Other Homeowner Purchase,5.10,"$27,327.60","$6,935.00"," 5,808 "
EPBB,No,4/13/2012,9/13/2012,Eversource Energy,Hartford,Hartland,06027,C-TEC Solar,Does Not Apply,Other Homeowner Purchase,4.18,"$16,265.60","$7,104.00"," 4,760 "
EPBB,No,4/16/2012,7/23/2012,Eversource Energy,Middlesex,Middletown,06457,AllGreenIT,Does Not Apply,Other Homeowner Purchase,4.50,"$22,783.00","$9,707.00"," 5,125 "
EPBB,No,4/16/2012,8/6/2012,Eversource Energy,Tolland,Andover,06232,GM Industries,Does Not Apply,Other Homeowner Purchase,9.76,"$36,507.47","$14,307.00"," 11,115 "
EPBB,No,4/17/2012,7/9/2012,Eversource Energy,New London,Montville,06382,Bonner Electric,Does Not Apply,Other Homeowner Purchase,9.00,"$36,578.00","$15,559.00"," 10,249 "
EPBB,No,4/17/2012,9/27/2012,Eversource Energy,Hartford,East Windsor,06088,AllGreenIT,Does Not Apply,Other Homeowner Purchase,9.00,"$36,360.00","$15,990.00"," 10,249 "
EPBB,No,4/17/2012,9/18/2012,Eversource Energy,Fairfield,Bethel,06801,Ross Solar,Does Not Apply,Other Homeowner Purchase,6.00,"$25,860.00","$9,468.00"," 6,833 "
EPBB,No,4/17/2012,4/17/2013,Eversource Energy,Middlesex,East Hampton,06424,White Oak Development,Does Not Apply,Other Homeowner Purchase,1.41,"$9,998.00","$1,575.00"," 1,606 "
EPBB,No,4/17/2012,12/7/2012,United Illuminating,Fairfield,Fairfield,06824,Sun-Wind Solutions,Does Not Apply,Other Homeowner Purchase,5.17,"$23,000.00","$7,439.00"," 5,888 "
EPBB,No,4/17/2012,7/31/2012,Eversource Energy,Litchfield,Warren,06754,Litchfield Hills Solar,Does Not Apply,Other Homeowner Purchase,5.88,"$29,400.00","$11,322.00"," 6,696 "
EPBB,No,4/18/2012,8/24/2012,Eversource Energy,New London,Stonington,06378,Mystic Solar,Does Not Apply,Other Homeowner Purchase,9.25,"$46,250.00","$15,510.00"," 10,534 "
EPBB,No,4/18/2012,8/9/2012,Eversource Energy,New London,Waterford,06385,RGS Energy,Does Not Apply,Other Homeowner Purchase,5.15,"$33,787.00","$10,037.00"," 5,859 "
EPBB,No,4/18/2012,6/20/2012,Eversource Energy,Fairfield,Newtown,06482,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,6.37,"$26,435.50","$11,765.00"," 7,254 "
PBI,No,4/18/2012,7/17/2012,Eversource Energy,New Haven,Prospect,06712,SolarCity,Does Not Apply,PPA,4.56,"$23,758.00","$9,505.20"," 5,193 "
PBI,No,4/18/2012,10/19/2012,Eversource Energy,Hartford,East Windsor,06016,SolarCity,Does Not Apply,PPA,9.84,"$51,266.00","$18,239.10"," 11,206 "
EPBB,No,4/19/2012,11/1/2013,Eversource Energy,New London,Colchester,06415,White Oak Development,Does Not Apply,Other Homeowner Purchase,10.00,"$63,386.00","$16,284.00"," 11,388 "
EPBB,No,4/19/2012,11/8/2012,United Illuminating,New Haven,West Haven,06516,Direct Energy Solar,Does Not Apply,Other Homeowner Purchase,4.28,"$31,850.00","$8,368.00"," 4,868 "
EPBB,No,4/19/2012,8/9/2012,Eversource Energy,Litchfield,New Hartford,06057,Evergreen Energy,Does Not Apply,Other Homeowner Purchase,4.41,"$19,845.00","$7,626.00"," 5,022 "
EPBB,No,4/20/2012,5/24/2012,Eversource Energy,New Haven,Wolcott,06716,CT Electrical,Does Not Apply,Other Homeowner Purchase,8.64,"$47,520.00","$14,617.00"," 9,839 "
EPBB,No,4/20/2012,7/30/2012,Eversource Energy,Litchfield,Watertown,06779,Litchfield Hills Solar,Does Not Apply,Other Homeowner Purchase,5.13,"$35,910.00","$6,183.00"," 5,842 "
PBI,No,4/20/2012,8/23/2012,Eversource Energy,Tolland,Vernon,06066,SolarCity,Does Not Apply,PPA,7.68,"$40,013.00","$10,724.70"," 8,746 "
