"Town","FIPS","Year","Measure Type","Variable","Value"
"Deep River","0900719130","2010-2014","Ratio to State Median","Median Home Value",0.97
"Deep River","0900719130","2010-2014","Ratio to State Median","Margins of Error",0.08
"Deep River","0900719130","2011-2015","Number","Median Home Value",270200
"Deep River","0900719130","2011-2015","Number","Margins of Error",14529
"Deep River","0900719130","2011-2015","Ratio to State Median","Median Home Value",1
"Deep River","0900719130","2011-2015","Ratio to State Median","Margins of Error",0.05
"Deep River","0900719130","2012-2016","Number","Median Home Value",275100
"Deep River","0900719130","2012-2016","Number","Margins of Error",12946
"Deep River","0900719130","2012-2016","Ratio to State Median","Median Home Value",1.02
"Deep River","0900719130","2012-2016","Ratio to State Median","Margins of Error",0.05
"Deep River","0900719130","2013-2017","Number","Median Home Value",274800
"Deep River","0900719130","2013-2017","Number","Margins of Error",10145
"Deep River","0900719130","2013-2017","Ratio to State Median","Median Home Value",1.02
"Deep River","0900719130","2013-2017","Ratio to State Median","Margins of Error",0.04
"Derby","0900919550","2006-2010","Number","Median Home Value",243400
"Derby","0900919550","2006-2010","Number","Margins of Error",12769
"Derby","0900919550","2006-2010","Ratio to State Median","Median Home Value",0.82
"Derby","0900919550","2006-2010","Ratio to State Median","Margins of Error",0.04
"Derby","0900919550","2007-2011","Number","Median Home Value",235500
"Derby","0900919550","2007-2011","Number","Margins of Error",9628
"Derby","0900919550","2007-2011","Ratio to State Median","Median Home Value",0.8
"Derby","0900919550","2007-2011","Ratio to State Median","Margins of Error",0.03
"Derby","0900919550","2008-2012","Number","Median Home Value",232200
"Derby","0900919550","2008-2012","Number","Margins of Error",9509
"Derby","0900919550","2008-2012","Ratio to State Median","Median Home Value",0.81
"Derby","0900919550","2008-2012","Ratio to State Median","Margins of Error",0.03
"Derby","0900919550","2009-2013","Number","Median Home Value",221400
"Derby","0900919550","2009-2013","Number","Margins of Error",10009
"Derby","0900919550","2009-2013","Ratio to State Median","Median Home Value",0.79
"Derby","0900919550","2009-2013","Ratio to State Median","Margins of Error",0.04
"Derby","0900919550","2010-2014","Number","Median Home Value",212700
"Derby","0900919550","2010-2014","Number","Margins of Error",15420
"Derby","0900919550","2010-2014","Ratio to State Median","Median Home Value",0.77
"Derby","0900919550","2010-2014","Ratio to State Median","Margins of Error",0.06
"Derby","0900919550","2011-2015","Number","Median Home Value",207000
"Derby","0900919550","2011-2015","Number","Margins of Error",11864
"Derby","0900919550","2011-2015","Ratio to State Median","Median Home Value",0.77
"Derby","0900919550","2011-2015","Ratio to State Median","Margins of Error",0.04
"Derby","0900919550","2012-2016","Number","Median Home Value",199400
"Derby","0900919550","2012-2016","Number","Margins of Error",14560
"Derby","0900919550","2012-2016","Ratio to State Median","Median Home Value",0.74
"Derby","0900919550","2012-2016","Ratio to State Median","Margins of Error",0.05
"Derby","0900919550","2013-2017","Number","Median Home Value",194600
"Derby","0900919550","2013-2017","Number","Margins of Error",17688
"Derby","0900919550","2013-2017","Ratio to State Median","Median Home Value",0.72
"Derby","0900919550","2013-2017","Ratio to State Median","Margins of Error",0.07
"Durham","0900720810","2006-2010","Number","Median Home Value",354300
"Durham","0900720810","2006-2010","Number","Margins of Error",16787
"Durham","0900720810","2006-2010","Ratio to State Median","Median Home Value",1.19
"Durham","0900720810","2006-2010","Ratio to State Median","Margins of Error",0.06
"Durham","0900720810","2007-2011","Number","Median Home Value",355000
"Durham","0900720810","2007-2011","Number","Margins of Error",13385
"Durham","0900720810","2007-2011","Ratio to State Median","Median Home Value",1.21
"Durham","0900720810","2007-2011","Ratio to State Median","Margins of Error",0.05
"Durham","0900720810","2008-2012","Number","Median Home Value",350800
"Durham","0900720810","2008-2012","Number","Margins of Error",11800
"Durham","0900720810","2008-2012","Ratio to State Median","Median Home Value",1.23
"Durham","0900720810","2008-2012","Ratio to State Median","Margins of Error",0.04
"Durham","0900720810","2009-2013","Number","Median Home Value",360000
"Durham","0900720810","2009-2013","Number","Margins of Error",13149
"Durham","0900720810","2009-2013","Ratio to State Median","Median Home Value",1.29
"Durham","0900720810","2009-2013","Ratio to State Median","Margins of Error",0.05
"Durham","0900720810","2010-2014","Number","Median Home Value",358200
"Durham","0900720810","2010-2014","Number","Margins of Error",14902
"Durham","0900720810","2010-2014","Ratio to State Median","Median Home Value",1.3
"Durham","0900720810","2010-2014","Ratio to State Median","Margins of Error",0.05
"Durham","0900720810","2011-2015","Number","Median Home Value",355600
"Durham","0900720810","2011-2015","Number","Margins of Error",14725
"Durham","0900720810","2011-2015","Ratio to State Median","Median Home Value",1.31
"Durham","0900720810","2011-2015","Ratio to State Median","Margins of Error",0.05
"Durham","0900720810","2012-2016","Number","Median Home Value",345400
"Durham","0900720810","2012-2016","Number","Margins of Error",16596
"Durham","0900720810","2012-2016","Ratio to State Median","Median Home Value",1.28
"Durham","0900720810","2012-2016","Ratio to State Median","Margins of Error",0.06
"Durham","0900720810","2013-2017","Number","Median Home Value",337800
"Durham","0900720810","2013-2017","Number","Margins of Error",17629
"Durham","0900720810","2013-2017","Ratio to State Median","Median Home Value",1.25
"Durham","0900720810","2013-2017","Ratio to State Median","Margins of Error",0.07
"East Granby","0900322070","2006-2010","Number","Median Home Value",276800
"East Granby","0900322070","2006-2010","Number","Margins of Error",12985
"East Granby","0900322070","2006-2010","Ratio to State Median","Median Home Value",0.93
"East Granby","0900322070","2006-2010","Ratio to State Median","Margins of Error",0.04
"East Granby","0900322070","2007-2011","Number","Median Home Value",269200
"East Granby","0900322070","2007-2011","Number","Margins of Error",11938
"East Granby","0900322070","2007-2011","Ratio to State Median","Median Home Value",0.92
"East Granby","0900322070","2007-2011","Ratio to State Median","Margins of Error",0.04
"East Granby","0900322070","2008-2012","Number","Median Home Value",274000
"East Granby","0900322070","2008-2012","Number","Margins of Error",11810
"East Granby","0900322070","2008-2012","Ratio to State Median","Median Home Value",0.96
"East Granby","0900322070","2008-2012","Ratio to State Median","Margins of Error",0.04
"East Granby","0900322070","2009-2013","Number","Median Home Value",277300
"East Granby","0900322070","2009-2013","Number","Margins of Error",15792
"East Granby","0900322070","2009-2013","Ratio to State Median","Median Home Value",0.99
"East Granby","0900322070","2009-2013","Ratio to State Median","Margins of Error",0.06
"East Granby","0900322070","2010-2014","Number","Median Home Value",280500
"East Granby","0900322070","2010-2014","Number","Margins of Error",11884
"East Granby","0900322070","2010-2014","Ratio to State Median","Median Home Value",1.02
"East Granby","0900322070","2010-2014","Ratio to State Median","Margins of Error",0.04
"East Granby","0900322070","2011-2015","Number","Median Home Value",283500
"East Granby","0900322070","2011-2015","Number","Margins of Error",12151
"East Granby","0900322070","2011-2015","Ratio to State Median","Median Home Value",1.05
"East Granby","0900322070","2011-2015","Ratio to State Median","Margins of Error",0.05
"East Granby","0900322070","2012-2016","Number","Median Home Value",296000
"East Granby","0900322070","2012-2016","Number","Margins of Error",19986
"East Granby","0900322070","2012-2016","Ratio to State Median","Median Home Value",1.1
"East Granby","0900322070","2012-2016","Ratio to State Median","Margins of Error",0.07
"East Granby","0900322070","2013-2017","Number","Median Home Value",288000
"East Granby","0900322070","2013-2017","Number","Margins of Error",12490
"East Granby","0900322070","2013-2017","Ratio to State Median","Median Home Value",1.07
"East Granby","0900322070","2013-2017","Ratio to State Median","Margins of Error",0.05
"East Haddam","0900722280","2006-2010","Number","Median Home Value",313400
"East Haddam","0900722280","2006-2010","Number","Margins of Error",18302
"East Haddam","0900722280","2006-2010","Ratio to State Median","Median Home Value",1.06
"East Haddam","0900722280","2006-2010","Ratio to State Median","Margins of Error",0.06
"East Haddam","0900722280","2007-2011","Number","Median Home Value",312800
"East Haddam","0900722280","2007-2011","Number","Margins of Error",14601
"East Haddam","0900722280","2007-2011","Ratio to State Median","Median Home Value",1.07
"East Haddam","0900722280","2007-2011","Ratio to State Median","Margins of Error",0.05
"East Haddam","0900722280","2008-2012","Number","Median Home Value",303000
"East Haddam","0900722280","2008-2012","Number","Margins of Error",16485
"East Haddam","0900722280","2008-2012","Ratio to State Median","Median Home Value",1.06
"East Haddam","0900722280","2008-2012","Ratio to State Median","Margins of Error",0.06
"East Haddam","0900722280","2009-2013","Number","Median Home Value",288300
"East Haddam","0900722280","2009-2013","Number","Margins of Error",12658
"East Haddam","0900722280","2009-2013","Ratio to State Median","Median Home Value",1.03
"East Haddam","0900722280","2009-2013","Ratio to State Median","Margins of Error",0.05
"East Haddam","0900722280","2010-2014","Number","Median Home Value",285000
"East Haddam","0900722280","2010-2014","Number","Margins of Error",12527
"East Haddam","0900722280","2010-2014","Ratio to State Median","Median Home Value",1.04
"East Haddam","0900722280","2010-2014","Ratio to State Median","Margins of Error",0.05
"East Haddam","0900722280","2011-2015","Number","Median Home Value",285000
"East Haddam","0900722280","2011-2015","Number","Margins of Error",11447
"East Haddam","0900722280","2011-2015","Ratio to State Median","Median Home Value",1.05
"East Haddam","0900722280","2011-2015","Ratio to State Median","Margins of Error",0.04
"East Haddam","0900722280","2012-2016","Number","Median Home Value",279500
"East Haddam","0900722280","2012-2016","Number","Margins of Error",11334
"East Haddam","0900722280","2012-2016","Ratio to State Median","Median Home Value",1.04
"East Haddam","0900722280","2012-2016","Ratio to State Median","Margins of Error",0.04
"East Haddam","0900722280","2013-2017","Number","Median Home Value",268800
"East Haddam","0900722280","2013-2017","Number","Margins of Error",13168
"East Haddam","0900722280","2013-2017","Ratio to State Median","Median Home Value",1
"East Haddam","0900722280","2013-2017","Ratio to State Median","Margins of Error",0.05
"East Hampton","0900722490","2006-2010","Number","Median Home Value",283200
"East Hampton","0900722490","2006-2010","Number","Margins of Error",12744
"East Hampton","0900722490","2006-2010","Ratio to State Median","Median Home Value",0.96
"East Hampton","0900722490","2006-2010","Ratio to State Median","Margins of Error",0.04
"East Hampton","0900722490","2007-2011","Number","Median Home Value",282300
"East Hampton","0900722490","2007-2011","Number","Margins of Error",13965
"East Hampton","0900722490","2007-2011","Ratio to State Median","Median Home Value",0.96
"East Hampton","0900722490","2007-2011","Ratio to State Median","Margins of Error",0.05
"East Hampton","0900722490","2008-2012","Number","Median Home Value",273900
"East Hampton","0900722490","2008-2012","Number","Margins of Error",12842
"East Hampton","0900722490","2008-2012","Ratio to State Median","Median Home Value",0.96
"East Hampton","0900722490","2008-2012","Ratio to State Median","Margins of Error",0.05
"East Hampton","0900722490","2009-2013","Number","Median Home Value",269100
"East Hampton","0900722490","2009-2013","Number","Margins of Error",13091
"East Hampton","0900722490","2009-2013","Ratio to State Median","Median Home Value",0.96
"East Hampton","0900722490","2009-2013","Ratio to State Median","Margins of Error",0.05
"East Hampton","0900722490","2010-2014","Number","Median Home Value",267300
"East Hampton","0900722490","2010-2014","Number","Margins of Error",13648
"East Hampton","0900722490","2010-2014","Ratio to State Median","Median Home Value",0.97
"East Hampton","0900722490","2010-2014","Ratio to State Median","Margins of Error",0.05
"East Hampton","0900722490","2011-2015","Number","Median Home Value",258700
"East Hampton","0900722490","2011-2015","Number","Margins of Error",13171
"East Hampton","0900722490","2011-2015","Ratio to State Median","Median Home Value",0.96
"East Hampton","0900722490","2011-2015","Ratio to State Median","Margins of Error",0.05
"East Hampton","0900722490","2012-2016","Number","Median Home Value",258900
"East Hampton","0900722490","2012-2016","Number","Margins of Error",12815
"East Hampton","0900722490","2012-2016","Ratio to State Median","Median Home Value",0.96
"East Hampton","0900722490","2012-2016","Ratio to State Median","Margins of Error",0.05
"East Hampton","0900722490","2013-2017","Number","Median Home Value",261400
"East Hampton","0900722490","2013-2017","Number","Margins of Error",10818
"East Hampton","0900722490","2013-2017","Ratio to State Median","Median Home Value",0.97
"East Hampton","0900722490","2013-2017","Ratio to State Median","Margins of Error",0.04
"East Hartford","0900322630","2006-2010","Number","Median Home Value",193000
"East Hartford","0900322630","2006-2010","Number","Margins of Error",3509
"East Hartford","0900322630","2006-2010","Ratio to State Median","Median Home Value",0.65
"East Hartford","0900322630","2006-2010","Ratio to State Median","Margins of Error",0.01
"East Hartford","0900322630","2007-2011","Number","Median Home Value",190000
"East Hartford","0900322630","2007-2011","Number","Margins of Error",3431
"East Hartford","0900322630","2007-2011","Ratio to State Median","Median Home Value",0.65
"East Hartford","0900322630","2007-2011","Ratio to State Median","Margins of Error",0.01
"East Hartford","0900322630","2008-2012","Number","Median Home Value",184200
"East Hartford","0900322630","2008-2012","Number","Margins of Error",3753
"East Hartford","0900322630","2008-2012","Ratio to State Median","Median Home Value",0.64
"East Hartford","0900322630","2008-2012","Ratio to State Median","Margins of Error",0.01
"East Hartford","0900322630","2009-2013","Number","Median Home Value",174700
"East Hartford","0900322630","2009-2013","Number","Margins of Error",3503
"East Hartford","0900322630","2009-2013","Ratio to State Median","Median Home Value",0.63
"East Hartford","0900322630","2009-2013","Ratio to State Median","Margins of Error",0.01
"East Hartford","0900322630","2010-2014","Number","Median Home Value",169900
"East Hartford","0900322630","2010-2014","Number","Margins of Error",2941
"East Hartford","0900322630","2010-2014","Ratio to State Median","Median Home Value",0.62
"East Hartford","0900322630","2010-2014","Ratio to State Median","Margins of Error",0.01
"East Hartford","0900322630","2011-2015","Number","Median Home Value",165400
"East Hartford","0900322630","2011-2015","Number","Margins of Error",2636
"East Hartford","0900322630","2011-2015","Ratio to State Median","Median Home Value",0.61
"East Hartford","0900322630","2011-2015","Ratio to State Median","Margins of Error",0.01
"East Hartford","0900322630","2012-2016","Number","Median Home Value",163300
"East Hartford","0900322630","2012-2016","Number","Margins of Error",3464
"East Hartford","0900322630","2012-2016","Ratio to State Median","Median Home Value",0.61
"East Hartford","0900322630","2012-2016","Ratio to State Median","Margins of Error",0.01
"East Hartford","0900322630","2013-2017","Number","Median Home Value",159800
"East Hartford","0900322630","2013-2017","Number","Margins of Error",2889
"East Hartford","0900322630","2013-2017","Ratio to State Median","Median Home Value",0.59
"East Hartford","0900322630","2013-2017","Ratio to State Median","Margins of Error",0.01
"East Haven","0900922910","2006-2010","Number","Median Home Value",245300
"East Haven","0900922910","2006-2010","Number","Margins of Error",7882
"East Haven","0900922910","2006-2010","Ratio to State Median","Median Home Value",0.83
"East Haven","0900922910","2006-2010","Ratio to State Median","Margins of Error",0.03
"East Haven","0900922910","2007-2011","Number","Median Home Value",240500
"East Haven","0900922910","2007-2011","Number","Margins of Error",6941
"East Haven","0900922910","2007-2011","Ratio to State Median","Median Home Value",0.82
"East Haven","0900922910","2007-2011","Ratio to State Median","Margins of Error",0.02
"East Haven","0900922910","2008-2012","Number","Median Home Value",233100
"East Haven","0900922910","2008-2012","Number","Margins of Error",5592
"East Haven","0900922910","2008-2012","Ratio to State Median","Median Home Value",0.82
"East Haven","0900922910","2008-2012","Ratio to State Median","Margins of Error",0.02
"East Haven","0900922910","2009-2013","Number","Median Home Value",221200
"East Haven","0900922910","2009-2013","Number","Margins of Error",5617
"East Haven","0900922910","2009-2013","Ratio to State Median","Median Home Value",0.79
"East Haven","0900922910","2009-2013","Ratio to State Median","Margins of Error",0.02
"East Haven","0900922910","2010-2014","Number","Median Home Value",215000
"East Haven","0900922910","2010-2014","Number","Margins of Error",5997
"East Haven","0900922910","2010-2014","Ratio to State Median","Median Home Value",0.78
"East Haven","0900922910","2010-2014","Ratio to State Median","Margins of Error",0.02
"East Haven","0900922910","2011-2015","Number","Median Home Value",209400
"East Haven","0900922910","2011-2015","Number","Margins of Error",6165
"East Haven","0900922910","2011-2015","Ratio to State Median","Median Home Value",0.77
"East Haven","0900922910","2011-2015","Ratio to State Median","Margins of Error",0.02
"East Haven","0900922910","2012-2016","Number","Median Home Value",207000
"East Haven","0900922910","2012-2016","Number","Margins of Error",6185
"East Haven","0900922910","2012-2016","Ratio to State Median","Median Home Value",0.77
"East Haven","0900922910","2012-2016","Ratio to State Median","Margins of Error",0.02
"East Haven","0900922910","2013-2017","Number","Median Home Value",206900
"East Haven","0900922910","2013-2017","Number","Margins of Error",6738
"East Haven","0900922910","2013-2017","Ratio to State Median","Median Home Value",0.77
"East Haven","0900922910","2013-2017","Ratio to State Median","Margins of Error",0.03
"East Lyme","0901123400","2006-2010","Number","Median Home Value",333000
"East Lyme","0901123400","2006-2010","Number","Margins of Error",9207
"East Lyme","0901123400","2006-2010","Ratio to State Median","Median Home Value",1.12
"East Lyme","0901123400","2006-2010","Ratio to State Median","Margins of Error",0.03
"East Lyme","0901123400","2007-2011","Number","Median Home Value",332900
"East Lyme","0901123400","2007-2011","Number","Margins of Error",10633
"East Lyme","0901123400","2007-2011","Ratio to State Median","Median Home Value",1.14
"East Lyme","0901123400","2007-2011","Ratio to State Median","Margins of Error",0.04
"East Lyme","0901123400","2008-2012","Number","Median Home Value",325500
"East Lyme","0901123400","2008-2012","Number","Margins of Error",11935
"East Lyme","0901123400","2008-2012","Ratio to State Median","Median Home Value",1.14
"East Lyme","0901123400","2008-2012","Ratio to State Median","Margins of Error",0.04
"East Lyme","0901123400","2009-2013","Number","Median Home Value",316200
"East Lyme","0901123400","2009-2013","Number","Margins of Error",10220
"East Lyme","0901123400","2009-2013","Ratio to State Median","Median Home Value",1.13
"East Lyme","0901123400","2009-2013","Ratio to State Median","Margins of Error",0.04
"East Lyme","0901123400","2010-2014","Number","Median Home Value",311900
"East Lyme","0901123400","2010-2014","Number","Margins of Error",12017
"East Lyme","0901123400","2010-2014","Ratio to State Median","Median Home Value",1.14
"East Lyme","0901123400","2010-2014","Ratio to State Median","Margins of Error",0.04
"East Lyme","0901123400","2011-2015","Number","Median Home Value",307800
"East Lyme","0901123400","2011-2015","Number","Margins of Error",9676
"East Lyme","0901123400","2011-2015","Ratio to State Median","Median Home Value",1.14
"East Lyme","0901123400","2011-2015","Ratio to State Median","Margins of Error",0.04
"East Lyme","0901123400","2012-2016","Number","Median Home Value",298600
"East Lyme","0901123400","2012-2016","Number","Margins of Error",9715
"East Lyme","0901123400","2012-2016","Ratio to State Median","Median Home Value",1.11
"East Lyme","0901123400","2012-2016","Ratio to State Median","Margins of Error",0.04
"East Lyme","0901123400","2013-2017","Number","Median Home Value",300200
"East Lyme","0901123400","2013-2017","Number","Margins of Error",8829
"East Lyme","0901123400","2013-2017","Ratio to State Median","Median Home Value",1.11
"East Lyme","0901123400","2013-2017","Ratio to State Median","Margins of Error",0.03
"East Windsor","0900324800","2006-2010","Number","Median Home Value",217100
"East Windsor","0900324800","2006-2010","Number","Margins of Error",17512
"East Windsor","0900324800","2006-2010","Ratio to State Median","Median Home Value",0.73
"East Windsor","0900324800","2006-2010","Ratio to State Median","Margins of Error",0.06
"East Windsor","0900324800","2007-2011","Number","Median Home Value",235200
"East Windsor","0900324800","2007-2011","Number","Margins of Error",17808
"East Windsor","0900324800","2007-2011","Ratio to State Median","Median Home Value",0.8
"East Windsor","0900324800","2007-2011","Ratio to State Median","Margins of Error",0.06
"East Windsor","0900324800","2008-2012","Number","Median Home Value",232000
"East Windsor","0900324800","2008-2012","Number","Margins of Error",21070
"East Windsor","0900324800","2008-2012","Ratio to State Median","Median Home Value",0.81
"East Windsor","0900324800","2008-2012","Ratio to State Median","Margins of Error",0.07
"East Windsor","0900324800","2009-2013","Number","Median Home Value",208900
"East Windsor","0900324800","2009-2013","Number","Margins of Error",18930
"East Windsor","0900324800","2009-2013","Ratio to State Median","Median Home Value",0.75
"East Windsor","0900324800","2009-2013","Ratio to State Median","Margins of Error",0.07
"East Windsor","0900324800","2010-2014","Number","Median Home Value",201600
"East Windsor","0900324800","2010-2014","Number","Margins of Error",14345
"East Windsor","0900324800","2010-2014","Ratio to State Median","Median Home Value",0.73
"East Windsor","0900324800","2010-2014","Ratio to State Median","Margins of Error",0.05
"East Windsor","0900324800","2011-2015","Number","Median Home Value",212100
"East Windsor","0900324800","2011-2015","Number","Margins of Error",12131
"East Windsor","0900324800","2011-2015","Ratio to State Median","Median Home Value",0.78
"East Windsor","0900324800","2011-2015","Ratio to State Median","Margins of Error",0.04
"East Windsor","0900324800","2012-2016","Number","Median Home Value",205900
"East Windsor","0900324800","2012-2016","Number","Margins of Error",13972
"East Windsor","0900324800","2012-2016","Ratio to State Median","Median Home Value",0.76
"East Windsor","0900324800","2012-2016","Ratio to State Median","Margins of Error",0.05
"East Windsor","0900324800","2013-2017","Number","Median Home Value",204300
"East Windsor","0900324800","2013-2017","Number","Margins of Error",14279
"East Windsor","0900324800","2013-2017","Ratio to State Median","Median Home Value",0.76
"East Windsor","0900324800","2013-2017","Ratio to State Median","Margins of Error",0.05
"Eastford","0901521860","2006-2010","Number","Median Home Value",291400
"Eastford","0901521860","2006-2010","Number","Margins of Error",15229
"Eastford","0901521860","2006-2010","Ratio to State Median","Median Home Value",0.98
"Eastford","0901521860","2006-2010","Ratio to State Median","Margins of Error",0.05
"Eastford","0901521860","2007-2011","Number","Median Home Value",273400
"Eastford","0901521860","2007-2011","Number","Margins of Error",12726
"Eastford","0901521860","2007-2011","Ratio to State Median","Median Home Value",0.93
"Eastford","0901521860","2007-2011","Ratio to State Median","Margins of Error",0.04
"Eastford","0901521860","2008-2012","Number","Median Home Value",262900
"Eastford","0901521860","2008-2012","Number","Margins of Error",12964
"Eastford","0901521860","2008-2012","Ratio to State Median","Median Home Value",0.92
"Eastford","0901521860","2008-2012","Ratio to State Median","Margins of Error",0.05
"Eastford","0901521860","2009-2013","Number","Median Home Value",262700
"Eastford","0901521860","2009-2013","Number","Margins of Error",12671
"Eastford","0901521860","2009-2013","Ratio to State Median","Median Home Value",0.94
"Eastford","0901521860","2009-2013","Ratio to State Median","Margins of Error",0.05
"Eastford","0901521860","2010-2014","Number","Median Home Value",259100
"Eastford","0901521860","2010-2014","Number","Margins of Error",8036
"Eastford","0901521860","2010-2014","Ratio to State Median","Median Home Value",0.94
"Eastford","0901521860","2010-2014","Ratio to State Median","Margins of Error",0.03
"Eastford","0901521860","2011-2015","Number","Median Home Value",248300
"Eastford","0901521860","2011-2015","Number","Margins of Error",13444
"Eastford","0901521860","2011-2015","Ratio to State Median","Median Home Value",0.92
"Eastford","0901521860","2011-2015","Ratio to State Median","Margins of Error",0.05
"Eastford","0901521860","2012-2016","Number","Median Home Value",244800
"Eastford","0901521860","2012-2016","Number","Margins of Error",16950
"Eastford","0901521860","2012-2016","Ratio to State Median","Median Home Value",0.91
"Eastford","0901521860","2012-2016","Ratio to State Median","Margins of Error",0.06
"Eastford","0901521860","2013-2017","Number","Median Home Value",253100
"Eastford","0901521860","2013-2017","Number","Margins of Error",12668
"Eastford","0901521860","2013-2017","Ratio to State Median","Median Home Value",0.94
"Eastford","0901521860","2013-2017","Ratio to State Median","Margins of Error",0.05
"Easton","0900123890","2006-2010","Number","Median Home Value",768800
"Easton","0900123890","2006-2010","Number","Margins of Error",38201
"Easton","0900123890","2006-2010","Ratio to State Median","Median Home Value",2.59
"Easton","0900123890","2006-2010","Ratio to State Median","Margins of Error",0.13
"Easton","0900123890","2007-2011","Number","Median Home Value",719300
"Easton","0900123890","2007-2011","Number","Margins of Error",33134
"Easton","0900123890","2007-2011","Ratio to State Median","Median Home Value",2.45
"Easton","0900123890","2007-2011","Ratio to State Median","Margins of Error",0.11
"Easton","0900123890","2008-2012","Number","Median Home Value",693400
"Easton","0900123890","2008-2012","Number","Margins of Error",28994
"Easton","0900123890","2008-2012","Ratio to State Median","Median Home Value",2.43
"Easton","0900123890","2008-2012","Ratio to State Median","Margins of Error",0.1
"Easton","0900123890","2009-2013","Number","Median Home Value",665800
"Easton","0900123890","2009-2013","Number","Margins of Error",34945
"Easton","0900123890","2009-2013","Ratio to State Median","Median Home Value",2.39
"Easton","0900123890","2009-2013","Ratio to State Median","Margins of Error",0.13
"Easton","0900123890","2010-2014","Number","Median Home Value",649900
"Easton","0900123890","2010-2014","Number","Margins of Error",29335
"Easton","0900123890","2010-2014","Ratio to State Median","Median Home Value",2.37
"Easton","0900123890","2010-2014","Ratio to State Median","Margins of Error",0.11
"Easton","0900123890","2011-2015","Number","Median Home Value",645900
"Easton","0900123890","2011-2015","Number","Margins of Error",24541
"Easton","0900123890","2011-2015","Ratio to State Median","Median Home Value",2.39
"Easton","0900123890","2011-2015","Ratio to State Median","Margins of Error",0.09
"Easton","0900123890","2012-2016","Number","Median Home Value",629200
"Easton","0900123890","2012-2016","Number","Margins of Error",24652
"Easton","0900123890","2012-2016","Ratio to State Median","Median Home Value",2.34
"Easton","0900123890","2012-2016","Ratio to State Median","Margins of Error",0.09
"Easton","0900123890","2013-2017","Number","Median Home Value",629200
"Easton","0900123890","2013-2017","Number","Margins of Error",23440
"Easton","0900123890","2013-2017","Ratio to State Median","Median Home Value",2.33
"Easton","0900123890","2013-2017","Ratio to State Median","Margins of Error",0.09
"Ellington","0901325360","2006-2010","Number","Median Home Value",276300
"Ellington","0901325360","2006-2010","Number","Margins of Error",10085
"Ellington","0901325360","2006-2010","Ratio to State Median","Median Home Value",0.93
"Ellington","0901325360","2006-2010","Ratio to State Median","Margins of Error",0.03
"Ellington","0901325360","2007-2011","Number","Median Home Value",275600
"Ellington","0901325360","2007-2011","Number","Margins of Error",9135
"Ellington","0901325360","2007-2011","Ratio to State Median","Median Home Value",0.94
"Ellington","0901325360","2007-2011","Ratio to State Median","Margins of Error",0.03
"Ellington","0901325360","2008-2012","Number","Median Home Value",274000
"Ellington","0901325360","2008-2012","Number","Margins of Error",8003
"Ellington","0901325360","2008-2012","Ratio to State Median","Median Home Value",0.96
"Ellington","0901325360","2008-2012","Ratio to State Median","Margins of Error",0.03
"Ellington","0901325360","2009-2013","Number","Median Home Value",267200
"Ellington","0901325360","2009-2013","Number","Margins of Error",10338
"Ellington","0901325360","2009-2013","Ratio to State Median","Median Home Value",0.96
"Ellington","0901325360","2009-2013","Ratio to State Median","Margins of Error",0.04
"Ellington","0901325360","2010-2014","Number","Median Home Value",260200
"Ellington","0901325360","2010-2014","Number","Margins of Error",12249
"Ellington","0901325360","2010-2014","Ratio to State Median","Median Home Value",0.95
"Ellington","0901325360","2010-2014","Ratio to State Median","Margins of Error",0.04
"Ellington","0901325360","2011-2015","Number","Median Home Value",256000
"Ellington","0901325360","2011-2015","Number","Margins of Error",15673
"Ellington","0901325360","2011-2015","Ratio to State Median","Median Home Value",0.95
"Ellington","0901325360","2011-2015","Ratio to State Median","Margins of Error",0.06
"Ellington","0901325360","2012-2016","Number","Median Home Value",264100
"Ellington","0901325360","2012-2016","Number","Margins of Error",18609
"Ellington","0901325360","2012-2016","Ratio to State Median","Median Home Value",0.98
"Ellington","0901325360","2012-2016","Ratio to State Median","Margins of Error",0.07
"Ellington","0901325360","2013-2017","Number","Median Home Value",249700
"Ellington","0901325360","2013-2017","Number","Margins of Error",17268
"Ellington","0901325360","2013-2017","Ratio to State Median","Median Home Value",0.92
"Ellington","0901325360","2013-2017","Ratio to State Median","Margins of Error",0.06
"Enfield","0900325990","2006-2010","Number","Median Home Value",210700
"Enfield","0900325990","2006-2010","Number","Margins of Error",3215
"Enfield","0900325990","2006-2010","Ratio to State Median","Median Home Value",0.71
"Enfield","0900325990","2006-2010","Ratio to State Median","Margins of Error",0.01
"Enfield","0900325990","2007-2011","Number","Median Home Value",207200
"Enfield","0900325990","2007-2011","Number","Margins of Error",3873
"Enfield","0900325990","2007-2011","Ratio to State Median","Median Home Value",0.71
"Enfield","0900325990","2007-2011","Ratio to State Median","Margins of Error",0.01
"Enfield","0900325990","2008-2012","Number","Median Home Value",199900
"Enfield","0900325990","2008-2012","Number","Margins of Error",4529
"Enfield","0900325990","2008-2012","Ratio to State Median","Median Home Value",0.7
"Enfield","0900325990","2008-2012","Ratio to State Median","Margins of Error",0.02
"Enfield","0900325990","2009-2013","Number","Median Home Value",194300
"Enfield","0900325990","2009-2013","Number","Margins of Error",2445
"Enfield","0900325990","2009-2013","Ratio to State Median","Median Home Value",0.7
"Enfield","0900325990","2009-2013","Ratio to State Median","Margins of Error",0.01
"Enfield","0900325990","2010-2014","Number","Median Home Value",191600
