"Town","FIPS","Year","Measure Type","Variable","Value"
"Ashford","0901501430","2010-2014","Ratio to State Median","Median Home Value",0.85
"Ashford","0901501430","2010-2014","Ratio to State Median","Margins of Error",0.04
"Ashford","0901501430","2011-2015","Number","Median Home Value",232000
"Ashford","0901501430","2011-2015","Number","Margins of Error",14014
"Ashford","0901501430","2011-2015","Ratio to State Median","Median Home Value",0.86
"Ashford","0901501430","2011-2015","Ratio to State Median","Margins of Error",0.05
"Ashford","0901501430","2012-2016","Number","Median Home Value",237600
"Ashford","0901501430","2012-2016","Number","Margins of Error",15394
"Ashford","0901501430","2012-2016","Ratio to State Median","Median Home Value",0.88
"Ashford","0901501430","2012-2016","Ratio to State Median","Margins of Error",0.06
"Ashford","0901501430","2013-2017","Number","Median Home Value",240000
"Ashford","0901501430","2013-2017","Number","Margins of Error",18843
"Ashford","0901501430","2013-2017","Ratio to State Median","Median Home Value",0.89
"Ashford","0901501430","2013-2017","Ratio to State Median","Margins of Error",0.07
"Avon","0900302060","2006-2010","Number","Median Home Value",421100
"Avon","0900302060","2006-2010","Number","Margins of Error",20153
"Avon","0900302060","2006-2010","Ratio to State Median","Median Home Value",1.42
"Avon","0900302060","2006-2010","Ratio to State Median","Margins of Error",0.07
"Avon","0900302060","2007-2011","Number","Median Home Value",406500
"Avon","0900302060","2007-2011","Number","Margins of Error",20189
"Avon","0900302060","2007-2011","Ratio to State Median","Median Home Value",1.39
"Avon","0900302060","2007-2011","Ratio to State Median","Margins of Error",0.07
"Avon","0900302060","2008-2012","Number","Median Home Value",390900
"Avon","0900302060","2008-2012","Number","Margins of Error",17741
"Avon","0900302060","2008-2012","Ratio to State Median","Median Home Value",1.37
"Avon","0900302060","2008-2012","Ratio to State Median","Margins of Error",0.06
"Avon","0900302060","2009-2013","Number","Median Home Value",378400
"Avon","0900302060","2009-2013","Number","Margins of Error",16258
"Avon","0900302060","2009-2013","Ratio to State Median","Median Home Value",1.36
"Avon","0900302060","2009-2013","Ratio to State Median","Margins of Error",0.06
"Avon","0900302060","2010-2014","Number","Median Home Value",379000
"Avon","0900302060","2010-2014","Number","Margins of Error",15395
"Avon","0900302060","2010-2014","Ratio to State Median","Median Home Value",1.38
"Avon","0900302060","2010-2014","Ratio to State Median","Margins of Error",0.06
"Avon","0900302060","2011-2015","Number","Median Home Value",376500
"Avon","0900302060","2011-2015","Number","Margins of Error",15170
"Avon","0900302060","2011-2015","Ratio to State Median","Median Home Value",1.39
"Avon","0900302060","2011-2015","Ratio to State Median","Margins of Error",0.06
"Avon","0900302060","2012-2016","Number","Median Home Value",374300
"Avon","0900302060","2012-2016","Number","Margins of Error",14993
"Avon","0900302060","2012-2016","Ratio to State Median","Median Home Value",1.39
"Avon","0900302060","2012-2016","Ratio to State Median","Margins of Error",0.06
"Avon","0900302060","2013-2017","Number","Median Home Value",378000
"Avon","0900302060","2013-2017","Number","Margins of Error",10696
"Avon","0900302060","2013-2017","Ratio to State Median","Median Home Value",1.4
"Avon","0900302060","2013-2017","Ratio to State Median","Margins of Error",0.04
"Barkhamsted","0900502760","2006-2010","Number","Median Home Value",294900
"Barkhamsted","0900502760","2006-2010","Number","Margins of Error",18238
"Barkhamsted","0900502760","2006-2010","Ratio to State Median","Median Home Value",0.99
"Barkhamsted","0900502760","2006-2010","Ratio to State Median","Margins of Error",0.06
