station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BDL,1/1/2019 0:55,-72.6825,41.9381,M,M,M,140,4,0.01,30.14,M,5,M,OVC,M,M,M,1500,M,M,M,RA BR,M,M,M,M,M,M,M,KBDL 010055Z AUTO 14004KT 5SM RA BR OVC015 03/02 A3013 RMK P0000 T00300020 MADISHF
BDL,1/1/2019 1:00,-72.6825,41.9381,M,M,M,130,5,0.02,30.13,M,4,M,OVC,M,M,M,1500,M,M,M,RA BR,M,M,M,M,M,M,M,KBDL 010100Z AUTO 13005KT 4SM RA BR OVC015 03/02 A3012 RMK P0001 T00300020 MADISHF
BDL,1/1/2019 1:05,-72.6825,41.9381,M,M,M,130,5,0.02,30.13,M,5,M,OVC,M,M,M,1500,M,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010105Z AUTO 13005KT 5SM -RA BR OVC015 03/02 A3012 RMK P0001 T00300020 MADISHF
BDL,1/1/2019 1:10,-72.6825,41.9381,M,M,M,120,5,0.03,30.13,M,5,M,OVC,M,M,M,1500,M,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010110Z AUTO 12005KT 5SM -RA BR OVC015 03/02 A3012 RMK P0002 T00300020 MADISHF
BDL,1/1/2019 1:15,-72.6825,41.9381,M,M,M,120,5,0.04,30.12,M,5,M,OVC,M,M,M,1500,M,M,M,RA BR,M,M,M,M,M,M,M,KBDL 010115Z AUTO 12005KT 5SM RA BR OVC015 03/02 A3012 RMK P0003 T00300020 MADISHF
BDL,1/1/2019 1:20,-72.6825,41.9381,M,M,M,120,6,0.06,30.1,M,5,M,OVC,M,M,M,1500,M,M,M,RA BR,M,M,M,M,M,M,M,KBDL 010120Z AUTO 12006KT 5SM RA BR OVC015 03/02 A3010 RMK P0005 T00300020 MADISHF
BDL,1/1/2019 1:25,-72.6825,41.9381,M,M,M,120,6,0.07,30.1,M,4,M,OVC,M,M,M,1500,M,M,M,RA BR,M,M,M,M,M,M,M,KBDL 010125Z AUTO 12006KT 4SM RA BR OVC015 03/02 A3010 RMK P0007 T00300020 MADISHF
BDL,1/1/2019 1:30,-72.6825,41.9381,M,M,M,120,5,0.08,30.09,M,5,M,OVC,M,M,M,1500,M,M,M,RA BR,M,M,M,M,M,M,M,KBDL 010130Z AUTO 12005KT 5SM RA BR OVC015 03/02 A3009 RMK P0007 T00300020 MADISHF
BDL,1/1/2019 1:35,-72.6825,41.9381,M,M,M,120,4,0.08,30.09,M,5,M,BKN,OVC,M,M,1200,1500,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010135Z AUTO 12004KT 5SM -RA BR BKN012 OVC015 03/02 A3009 RMK P0007 T00300020 MADISHF
BDL,1/1/2019 1:40,-72.6825,41.9381,M,M,M,130,5,0.09,30.08,M,5,M,BKN,OVC,M,M,1200,1500,M,M,RA BR,M,M,M,M,M,M,M,KBDL 010140Z AUTO 13005KT 5SM RA BR BKN012 OVC015 03/02 A3007 RMK P0009 T00300020 MADISHF
BDL,1/1/2019 1:45,-72.6825,41.9381,M,M,M,120,6,0.1,30.07,M,5,M,OVC,M,M,M,1200,M,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010145Z AUTO 12006KT 5SM -RA BR OVC012 03/02 A3006 RMK P0010 T00300020 MADISHF
BDL,1/1/2019 1:50,-72.6825,41.9381,M,M,M,120,6,0.11,30.06,M,5,M,BKN,OVC,M,M,1200,1500,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010150Z AUTO 12006KT 5SM -RA BR BKN012 OVC015 03/02 A3005 RMK P0010 T00300020 MADISHF
BDL,1/1/2019 1:51,-72.6825,41.9381,37,36,96.13,120,6,0.11,30.06,1018,5,M,BKN,OVC,M,M,1200,1500,M,M,#NAME?,M,M,M,M,M,M,31.55,KBDL 010151Z 12006KT 5SM -RA BR BKN012 OVC015 03/02 A3006 RMK AO2 PRESFR SLP180 P0011 T00280022
BDL,1/1/2019 1:55,-72.6825,41.9381,M,M,M,120,6,M,30.05,M,5,M,OVC,M,M,M,999,M,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010155Z AUTO 12006KT 5SM -RA BR OVC009 03/02 A3004 RMK T00300020 MADISHF
BDL,1/1/2019 2:00,-72.6825,41.9381,M,M,M,130,4,0.01,30.06,M,5,M,OVC,M,M,M,999,M,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010200Z AUTO 13004KT 5SM -RA BR OVC009 03/02 A3005 RMK P0000 T00300020 MADISHF
BDL,1/1/2019 2:05,-72.6825,41.9381,M,M,M,150,5,0.02,30.05,M,5,M,OVC,M,M,M,999,M,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010205Z AUTO 15005KT 5SM -RA BR OVC009 03/03 A3004 RMK P0001 T00300030 MADISHF
BDL,1/1/2019 2:10,-72.6825,41.9381,M,M,M,140,4,0.02,30.04,M,5,M,OVC,M,M,M,999,M,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010210Z AUTO 14004KT 5SM -RA BR OVC009 03/03 A3004 RMK P0001 T00300030 MADISHF
BDL,1/1/2019 2:15,-72.6825,41.9381,M,M,M,140,5,0.03,30.05,M,4,M,BKN,OVC,M,M,999,1300,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010215Z AUTO 14005KT 4SM -RA BR BKN009 OVC013 03/03 A3004 RMK P0002 T00300030 MADISHF
BDL,1/1/2019 2:20,-72.6825,41.9381,M,M,M,160,5,0.03,30.05,M,3.5,M,BKN,OVC,M,M,999,1300,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010220Z AUTO 16005KT 3SM -RA BR BKN009 OVC013 03/03 A3004 RMK P0002 T00300030 MADISHF
BDL,1/1/2019 2:25,-72.6825,41.9381,M,M,M,170,6,0.04,30.04,M,4,M,BKN,OVC,M,M,900,1300,M,M,RA BR,M,M,M,M,M,M,M,KBDL 010225Z AUTO 17006KT 4SM RA BR BKN009 OVC013 03/03 A3004 RMK P0003 T00300030 MADISHF
BDL,1/1/2019 2:30,-72.6825,41.9381,37,37,100,150,7,0.05,30.03,M,4,M,BKN,OVC,M,M,900,1300,M,M,RA BR,M,M,M,M,M,M,30.87,KBDL 010230Z 15007KT 4SM RA BR BKN009 OVC013 03/03 A3003 RMK AO2 P0005 T00280028
BDL,1/1/2019 2:35,-72.6825,41.9381,M,M,M,150,8,0.08,30.02,M,4,M,BKN,OVC,M,M,700,1300,M,M,RA BR,M,M,M,M,M,M,M,KBDL 010235Z AUTO 15008KT 4SM RA BR BKN007 OVC013 03/03 A3002 RMK P0007 T00300030 MADISHF
BDL,1/1/2019 2:45,-72.6825,41.9381,M,M,M,150,9,0.1,30.01,M,5,M,BKN,OVC,M,M,700,1300,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010245Z AUTO 15009KT 5SM -RA BR BKN007 OVC013 03/03 A3001 RMK P0010 T00300030 MADISHF
BDL,1/1/2019 2:50,-72.6825,41.9381,M,M,M,160,8,0.11,30.01,M,5,M,SCT,BKN,OVC,M,700,1300,2200,M,RA BR,M,M,M,M,M,M,M,KBDL 010250Z AUTO 16008KT 5SM RA BR SCT007 BKN013 OVC022 03/03 A3001 RMK P0010 T00300030 MADISHF
